,score_home,score_away,spread_favorite,spread_covered,over_under_line,over_under_result,home_team_fav,home_win%,home_team_ppg,home_team_oppg,home_p_diff,away_win%,away_team_ppg,away_team_oppg,away_p_diff,home_win_exp,away_win_exp
744,13,30,-3.5,0,44.0,0,1,0.667,23.67,22.0,1.67,0.667,19.67,21.67,-2.0,0.603,0.368
745,37,13,-11.5,1,45.5,1,1,0.33299999999999996,21.0,23.67,-2.67,0.33299999999999996,14.67,31.0,-16.33,0.336,0.014
746,20,17,-3.5,0,43.0,0,1,0.667,23.33,22.67,0.66,0.667,18.0,19.0,-1.0,0.541,0.427
747,23,38,-4.0,1,41.5,1,0,0.0,10.0,36.5,-26.5,0.33299999999999996,23.0,18.67,4.33,0.001,0.763
748,26,39,-4.5,1,43.5,1,0,0.25,17.75,25.0,-7.25,1.0,28.0,14.5,13.5,0.127,0.976
749,22,16,-7.0,0,40.0,0,1,0.5,22.25,14.25,8.0,0.25,15.25,21.0,-5.75,0.917,0.151
750,19,13,-7.0,0,37.5,0,1,1.0,19.67,11.67,8.0,0.25,18.5,29.75,-11.25,0.937,0.059
751,24,21,-3.5,0,43.5,1,0,0.0,14.33,37.0,-22.67,0.5,21.75,26.75,-5.0,0.004,0.231
752,24,7,-7.5,1,39.5,0,1,0.667,21.67,21.67,0.0,0.25,14.25,32.5,-18.25,0.5,0.009
753,35,13,-1.0,1,45.0,1,1,0.5,26.75,19.75,7.0,1.0,29.67,11.0,18.67,0.852,0.996
754,27,21,-3.0,1,42.5,1,1,0.0,18.25,27.25,-9.0,0.0,17.0,30.5,-13.5,0.091,0.033
755,24,23,-3.5,0,46.5,1,1,1.0,31.75,14.5,17.25,1.0,29.5,12.25,17.25,0.989,0.993
756,38,30,-1.0,1,40.5,1,1,0.5,17.75,19.25,-1.5,0.75,22.25,19.5,2.75,0.392,0.677
757,10,23,-1.5,0,38.0,0,1,0.667,26.33,23.0,3.33,0.667,19.33,12.67,6.66,0.688,0.9
758,27,25,-4.5,0,40.5,1,1,0.33299999999999996,11.0,20.33,-9.33,0.75,22.5,21.25,1.25,0.04,0.58
759,13,33,-7.0,0,42.0,1,1,0.5,21.0,24.0,-3.0,0.25,11.5,18.75,-7.25,0.318,0.076
760,24,17,-7.5,0,42.5,0,1,0.25,23.0,20.5,2.5,0.25,19.25,24.5,-5.25,0.657,0.203
761,35,38,-4.5,0,37.5,1,1,0.667,19.0,7.33,11.67,1.0,30.0,11.75,18.25,0.991,0.995
762,18,26,-6.5,1,37.0,1,0,0.2,12.8,30.8,-18.0,0.5,20.5,18.5,2.0,0.007,0.637
763,13,7,-3.5,1,43.5,0,1,0.4,15.8,17.6,-1.8,0.4,21.6,26.2,-4.6,0.362,0.246
764,23,21,-1.0,1,37.5,1,1,0.75,22.25,18.0,4.25,0.5,15.0,21.5,-6.5,0.764,0.125
765,17,14,-6.5,0,45.0,0,1,0.8,28.2,14.6,13.6,0.4,19.4,25.8,-6.4,0.976,0.164
766,34,40,-2.5,0,47.5,1,1,0.6,28.4,18.4,10.0,1.0,30.2,16.2,14.0,0.924,0.973
767,20,23,-4.0,0,37.5,1,1,1.0,31.6,16.4,15.2,1.0,19.5,12.0,7.5,0.978,0.925
768,10,24,-3.5,1,38.0,0,0,0.2,20.0,26.0,-6.0,0.75,20.25,12.0,8.25,0.181,0.939
769,17,6,-2.5,1,42.5,0,1,0.6,21.8,21.4,0.4,0.5,22.25,23.0,-0.75,0.526,0.453
770,20,13,-6.5,1,43.0,0,1,0.2,17.4,27.6,-10.2,0.25,16.75,33.0,-16.25,0.067,0.018
771,30,3,-1.0,0,36.5,0,0,0.0,11.25,19.25,-8.0,0.6,22.2,14.6,7.6,0.06,0.906
772,20,19,-3.5,0,44.5,0,1,0.75,25.5,17.0,8.5,0.4,23.2,19.8,3.4,0.907,0.71
